Date,New,Deaths,Recoveries
1/22/20,555,17,28
1/23/20,654,18,30
1/24/20,941,26,36
1/25/20,1434,42,39
1/26/20,2118,56,52
1/27/20,2927,82,61
1/28/20,5578,131,107
1/29/20,6166,133,125
1/30/20,8234,171,141
1/31/20,9927,213,219
2/1/20,12038,259,281
2/2/20,16787,362,459
2/3/20,19887,426,604
2/4/20,23898,492,821
2/5/20,27643,564,1071
2/6/20,30802,634,1418
2/7/20,34334,719,1903
2/8/20,37068,806,2470
2/9/20,40095,906,3057
2/10/20,42633,1013,3714
2/11/20,44675,1113,4417
2/12/20,46561,1118,4849
2/13/20,60206,1371,5930
2/14/20,66690,1523,7613
2/15/20,68765,1666,8902
2/16/20,70879,1770,10319
2/17/20,72815,1868,11951
2/18/20,74609,2008,13693
2/19/20,75030,2123,15394
2/20/20,75577,2246,17369
2/21/20,76206,2250,17966
2/22/20,77967,2457,21849
2/23/20,78290,2467,22304
2/24/20,78854,2627,24047
2/25/20,79707,2707,26652
2/26/20,80670,2767,29077
2/27/20,82034,2810,31919
2/28/20,83411,2867,35306
2/29/20,85306,2936,38314
3/1/20,87690,2990,41208
3/2/20,89664,3079,44085
3/3/20,92241,3154,46681
3/4/20,94540,3249,49619
3/5/20,97331,3342,52237
3/6/20,101274,3454,54270
3/7/20,105312,3553,56760
3/8/20,109266,3797,59092
3/9/20,113166,3981,60891
3/10/20,118190,4260,62802
3/11/20,125853,4604,65113
3/12/20,131603,4909,66434
3/13/20,146008,5406,68359
3/14/20,157114,5823,70729
3/15/20,168260,6464,74139
3/16/20,182919,7144,76192
3/17/20,198757,7948,78944
3/18/20,218343,8845,81427
3/19/20,246261,9951,83064
3/20/20,275869,11429,85509
3/21/20,308175,13134,89775
3/22/20,341585,14831,95990
3/23/20,383750,16748,96456
3/24/20,424889,19016,105997
3/25/20,475706,21793,111445
3/26/20,538666,24800,119804
3/27/20,603066,28318,128508
3/28/20,670723,31997,136800
3/29/20,730300,35470,146261
3/30/20,794939,39634,161707
3/31/20,871355,44478,174074
4/1/20,947569,50029,189434
4/2/20,1028968,56334,206052
4/3/20,1112123,62319,221060
4/4/20,1192586,68160,241072
4/5/20,1264304,73181,254477
4/6/20,1336976,79013,270812
4/7/20,1413849,86915,293665
4/8/20,1497624,93650,322017
4/9/20,1584249,101279,346349
4/10/20,1671907,108551,367477
4/11/20,1748872,114620,392991
4/12/20,1845653,120351,411864
4/13/20,1915247,126098,438395
4/14/20,1985174,132996,463014
4/15/20,2066003,141308,498925
4/16/20,2162715,148591,529015
4/17/20,2250439,157481,554287
4/18/20,2324396,163952,577789
4/19/20,2404919,168522,608557
4/20/20,2478258,173965,629862
4/21/20,2553508,181122,664043
4/22/20,2630314,187877,693207
4/23/20,2719327,194727,721689
4/24/20,2806267,201401,771329
4/25/20,2891199,206979,798239
4/26/20,2964146,210862,825969
4/27/20,3032850,215511,852382
4/28/20,3108149,221974,884680
4/29/20,3185195,228742,925752
4/30/20,3268876,234704,989616
5/1/20,3355922,239881,1026501
5/2/20,3437608,245206,1066362
5/3/20,3515244,248659,1097577
5/4/20,3591321,252787,1130526
5/5/20,3671310,258658,1166155
5/6/20,3761332,265327,1210894
5/7/20,3850418,270736,1249311
5/8/20,3941935,276304,1284849
5/9/20,4027781,280569,1337367
5/10/20,4104027,284135,1370108
5/11/20,4180268,287608,1416204
5/12/20,4263867,293155,1452191
5/13/20,4348619,298383,1506905
5/14/20,4445724,303651,1545712
5/15/20,4542073,308866,1592880
5/16/20,4637485,313037,1648546
5/17/20,4715994,316366,1688699
5/18/20,4804278,319657,1740909
5/19/20,4900702,324441,1792256
5/20/20,5003730,329326,1850441
5/21/20,5110064,334112,1900768
5/22/20,5216964,339396,2008541
5/23/20,5322253,343385,2062802
5/24/20,5417579,346525,2117555
5/25/20,5504542,347703,2180605
5/26/20,5597064,351906,2235118
5/27/20,5699664,357119,2297613
5/28/20,5818978,361820,2363746
5/29/20,5940145,366562,2440127
5/30/20,6077978,370718,2509981
5/31/20,6185530,373606,2585589
6/1/20,6280725,376674,2639599
6/2/20,6401536,381497,2743083
6/3/20,6520924,387069,2821430
6/4/20,6647861,392218,2890776
6/5/20,6778724,396994,2959037
6/6/20,6914666,400875,3030214
6/7/20,7026925,403617,3084718
6/8/20,7129150,407314,3235640
6/9/20,7253492,412236,3317121
6/10/20,7387517,417441,3395154
6/11/20,7525631,422215,3480121
6/12/20,7654725,426512,3558933
6/13/20,7790735,430750,3644048
6/14/20,7924156,434124,3714006
6/15/20,8043794,437549,3793406
6/16/20,8185197,444416,3890800
6/17/20,8327050,449671,4008201
6/18/20,8466978,454700,4088826
6/19/20,8647784,460973,4183298
6/20/20,8805336,465222,4298603
6/21/20,8933875,469185,4366875
6/22/20,9071733,472756,4458093
6/23/20,9237071,478067,4561696
6/24/20,9408254,483328,4677005
6/25/20,9586141,489955,4769458
6/26/20,9777487,494782,4875774
6/27/20,9955597,499268,4981808
6/28/20,10117227,502357,5070592
6/29/20,10275799,506078,5164494
6/30/20,10449697,511210,5281459
7/1/20,10667386,516221,5397083
7/2/20,10875091,521341,5681477
7/3/20,11078585,526336,5790942
7/4/20,11272152,530705,5986375
7/5/20,11454847,534150,6105546
7/6/20,11622190,537947,6228768
7/7/20,11833034,544054,6373513
7/8/20,12044836,549373,6531016
7/9/20,12273063,554831,6665237
7/10/20,12505640,560142,6804254
7/11/20,12721968,565039,6929711
7/12/20,12914636,568993,7041174
7/13/20,13107415,572808,7181139
7/14/20,13328867,578468,7322897
7/15/20,13559984,583961,7482320
7/16/20,13812525,589760,7634241
7/17/20,14054563,596503,7793760
7/18/20,14292198,602130,7944550
7/19/20,14506845,606159,8032235
7/20/20,14713623,610319,8190777
7/21/20,14947078,616557,8364986
7/22/20,15227725,623540,8541255
7/23/20,15510481,633506,8710969
7/24/20,15791645,639650,8939705
7/25/20,16047190,644517,9158743
7/26/20,16251796,648621,9293464
7/27/20,16480485,654036,9468087